n,N,lp,rp,sp,e
1,0,0.25,0.25,0.5,0.0001
2,1,0.25,0.25,0.5,0.0001
3,7,0.25,0.25,0.5,0.0001
4,13,0.25,0.25,0.5,0.0001
5,20,0.25,0.25,0.5,0.0001
6,29,0.25,0.25,0.5,0.0001
7,39,0.25,0.25,0.5,0.0001
8,50,0.25,0.25,0.5,0.0001
9,62,0.25,0.25,0.5,0.0001
10,76,0.25,0.25,0.5,0.0001
11,91,0.25,0.25,0.5,0.0001
12,107,0.25,0.25,0.5,0.0001
13,125,0.25,0.25,0.5,0.0001
14,144,0.25,0.25,0.5,0.0001
15,163,0.25,0.25,0.5,0.0001
16,184,0.25,0.25,0.5,0.0001
17,206,0.25,0.25,0.5,0.0001
18,230,0.25,0.25,0.5,0.0001
19,254,0.25,0.25,0.5,0.0001
20,279,0.25,0.25,0.5,0.0001
21,306,0.25,0.25,0.5,0.0001
22,333,0.25,0.25,0.5,0.0001
23,362,0.25,0.25,0.5,0.0001
24,392,0.25,0.25,0.5,0.0001
25,423,0.25,0.25,0.5,0.0001
26,455,0.25,0.25,0.5,0.0001
27,487,0.25,0.25,0.5,0.0001
28,521,0.25,0.25,0.5,0.0001
29,556,0.25,0.25,0.5,0.0001
30,592,0.25,0.25,0.5,0.0001
31,629,0.25,0.25,0.5,0.0001
32,667,0.25,0.25,0.5,0.0001
33,706,0.25,0.25,0.5,0.0001
34,746,0.25,0.25,0.5,0.0001
35,787,0.25,0.25,0.5,0.0001
36,829,0.25,0.25,0.5,0.0001
37,872,0.25,0.25,0.5,0.0001
38,916,0.25,0.25,0.5,0.0001
39,961,0.25,0.25,0.5,0.0001
40,1007,0.25,0.25,0.5,0.0001
41,1054,0.25,0.25,0.5,0.0001
42,1101,0.25,0.25,0.5,0.0001
43,1150,0.25,0.25,0.5,0.0001
44,1200,0.25,0.25,0.5,0.0001
45,1250,0.25,0.25,0.5,0.0001
46,1302,0.25,0.25,0.5,0.0001
47,1354,0.25,0.25,0.5,0.0001
48,1408,0.25,0.25,0.5,0.0001
49,1462,0.25,0.25,0.5,0.0001
50,1517,0.25,0.25,0.5,0.0001
51,1573,0.25,0.25,0.5,0.0001
52,1630,0.25,0.25,0.5,0.0001
53,1688,0.25,0.25,0.5,0.0001
54,1747,0.25,0.25,0.5,0.0001
55,1807,0.25,0.25,0.5,0.0001
56,1867,0.25,0.25,0.5,0.0001
57,1929,0.25,0.25,0.5,0.0001
58,1991,0.25,0.25,0.5,0.0001
59,2054,0.25,0.25,0.5,0.0001
60,2118,0.25,0.25,0.5,0.0001
61,2183,0.25,0.25,0.5,0.0001
62,2249,0.25,0.25,0.5,0.0001
63,2316,0.25,0.25,0.5,0.0001
64,2384,0.25,0.25,0.5,0.0001
65,2452,0.25,0.25,0.5,0.0001
66,2521,0.25,0.25,0.5,0.0001
67,2592,0.25,0.25,0.5,0.0001
68,2663,0.25,0.25,0.5,0.0001
69,2734,0.25,0.25,0.5,0.0001
70,2807,0.25,0.25,0.5,0.0001
71,2881,0.25,0.25,0.5,0.0001
72,2955,0.25,0.25,0.5,0.0001
73,3030,0.25,0.25,0.5,0.0001
74,3106,0.25,0.25,0.5,0.0001
75,3183,0.25,0.25,0.5,0.0001
76,3261,0.25,0.25,0.5,0.0001
77,3339,0.25,0.25,0.5,0.0001
78,3419,0.25,0.25,0.5,0.0001
79,3499,0.25,0.25,0.5,0.0001
80,3580,0.25,0.25,0.5,0.0001
81,3662,0.25,0.25,0.5,0.0001
82,3744,0.25,0.25,0.5,0.0001
83,3828,0.25,0.25,0.5,0.0001
84,3912,0.25,0.25,0.5,0.0001
85,3997,0.25,0.25,0.5,0.0001
86,4083,0.25,0.25,0.5,0.0001
87,4170,0.25,0.25,0.5,0.0001
88,4257,0.25,0.25,0.5,0.0001
89,4345,0.25,0.25,0.5,0.0001
90,4434,0.25,0.25,0.5,0.0001
91,4524,0.25,0.25,0.5,0.0001
92,4615,0.25,0.25,0.5,0.0001
93,4706,0.25,0.25,0.5,0.0001
94,4798,0.25,0.25,0.5,0.0001
95,4891,0.25,0.25,0.5,0.0001
96,4985,0.25,0.25,0.5,0.0001
97,5080,0.25,0.25,0.5,0.0001
98,5175,0.25,0.25,0.5,0.0001
99,5271,0.25,0.25,0.5,0.0001
100,5368,0.25,0.25,0.5,0.0001
