n,N,lp,rp,sp,e
1,0,0.333333333333333,0.166666666666667,0.5,0.0001
2,1,0.333333333333333,0.166666666666667,0.5,0.0001
3,7,0.333333333333333,0.166666666666667,0.5,0.0001
4,14,0.333333333333333,0.166666666666667,0.5,0.0001
5,21,0.333333333333333,0.166666666666667,0.5,0.0001
6,30,0.333333333333333,0.166666666666667,0.5,0.0001
7,41,0.333333333333333,0.166666666666667,0.5,0.0001
8,53,0.333333333333333,0.166666666666667,0.5,0.0001
9,66,0.333333333333333,0.166666666666667,0.5,0.0001
10,81,0.333333333333333,0.166666666666667,0.5,0.0001
11,97,0.333333333333333,0.166666666666667,0.5,0.0001
12,114,0.333333333333333,0.166666666666667,0.5,0.0001
13,132,0.333333333333333,0.166666666666667,0.5,0.0001
14,152,0.333333333333333,0.166666666666667,0.5,0.0001
15,173,0.333333333333333,0.166666666666667,0.5,0.0001
16,195,0.333333333333333,0.166666666666667,0.5,0.0001
17,219,0.333333333333333,0.166666666666667,0.5,0.0001
18,243,0.333333333333333,0.166666666666667,0.5,0.0001
19,269,0.333333333333333,0.166666666666667,0.5,0.0001
20,295,0.333333333333333,0.166666666666667,0.5,0.0001
